Id,modularity_class
18|15,11
21|18,7
21|14,5
2|30,5
21|20.18,0
40|18.13,11
34|,6
15|13.14,8
14|5.25,8
18|40.18.9.36,8
29|21,7
26|19,12
30|14,5
40|23,6
5|18,4
36|33,6
40|33,6
28|36,3
36|30,1
15|18,11
39|21,7
20|21.14,5
29|20.36,0
14|2,5
40|21,7
6|,1
6|2,5
36|28,3
18|26,12
14|9,8
40|6,1
40|18.2.18,5
6|36,1
2|,1
23|40,6
18|0,6
18|40.18.15,11
29|21.20,0
20|21,7
18|27,2
18|40.18.2.30,8
40|25,4
30|18,1
18|1,2
37|28,3
29|36,8
36|1,2
27|,2
18|40.18.25,4
38|,8
18|9.28,3
10|,12
12|18,3
40|18.14.18,7
18|30,1
18|12,3
18|5,4
14|5.18,4
5|,4
18|2.18,5
19|,12
36|5,0
18|32,6
14|21,13
29|20.18,0
14|,5
9|18,8
12|,3
18|9.12,8
36|21,7
14|13,11
18|37,9
36|25,4
25|14,4
14|27,10
15|13,11
0|18.40,6
13|18,11
18|40.18.9.28,3
18|40.18.12,8
12|28.14,8
18|13,11
23|,6
13|15,11
40|5,4
21|,7
18|5.18,4
18|36.18.30,1
14|18.40.18.9,10
36|18.30,1
30|2,1
18|40.18.21,7
18|33,6
28|18,8
40|18.9.18,7
20|37,0
40|18.29,8
0|,6
14|15,10
18|2.30,8
14|6,1
27|1,2
18|40.18.14.18,7
18|9.18,7
22|,6
18|14.18,10
40|18.9.36,8
12|14.18,3
18|11,7
9|28.18,3
36|14,5
14|18.40.18.14,10
40|24,9
36|29,8
18|29,8
11|,7
13|,11
29|21.18,7
25|36,4
18|34,6
18|14,10
18|28.18,3
13|18.40,10
6|18.40.18.2,5
9|12,8
29|20.14,0
14|2.18,5
20|29.21,7
21|29,0
37|12,3
2|18,5
100|,8
20|29,13
18|23,6
24|,9
29|14,13
18|2.14,5
40|18.30,1
5|36,0
9|12.18,3
28|12,3
15|,11
36|2,1
37|18,9
18|40.18.9.18,7
40|18.15,11
20|18,0
18|19,12
40|18.5.36,8
40|18.2,5
3|,12
6|14,5
31|,12
6|40,1
36|9,3
18|,12
37|9,8
40|18.5,4
30|6.18.40.18.2,5
30|6.2,8
19|26,12
40|18.2.30,8
18|20,0
25|5,3
18|25,4
14|28,3
18|40.18.5,4
40|18.9,10
18|21,7
37|15,11
33|18,6
18|40.18.30,1
9|38,8
30|6.14,5
29|20,0
15|36.15.13.18,10
18|40.18.29,8
1|18,2
36|,0
39|9,8
36|15.13.18,10
39|13,11
9|12.28,8
37|,3
2|14,5
39|25,4
17|,12
28|37,3
25|,4
29|,8
36|20,0
15|14,11
5|14.18,3
21|20,0
36|26,12
18|40.18.9,10
18|36,9
18|40.18.13,11
26|,12
40|18.9.28,3
28|,3
4|,12
18|2,5
18|40.18.9.12,8
36|6,1
12|9,3
40|32,6
18|5.36,8
37|20,0
28|9,8
9|12.28.14,8
20|29.18,13
39|18,9
30|,1
40|12,3
37|13,11
40|18.21,7
33|32,6
18|40.18.2,5
25|18.14,10
36|13,11
8|,12
32|18.40,6
18|38,8
1|,2
12|28,8
30|6.36,1
14|25.18,4
18|39,9
9|36,3
14|29,8
40|,6
40|18.11,7
29|18,13
40|18.12,3
12|36,8
18|9,10
20|,0
21|20.29,13
18|22,6
20|36,0
40|18.1,2
33|40,6
5|25,4
2|6,1
20|14,0
18|30.6.2,8
13|14,11
36|12,8
39|28,3
15|13.18,10
7|,12
9|,8
38|18,8
38|21,7
19|18,12
18|40.18.1,2
18|28,6
22|18,2
14|18,3
36|18,9
36|32,6
37|21,7
18|40.18.14,10
36|23,6
18|40.18.5.36,8
33|36,6
21|11,7
36|15,11
18|40,6
32|,6
9|28.14,3
9|28.12,3
28|14,3
40|18.9.12,8
40|28,3
18|40.18.2.18,5
33|,6
14|18.40,11
33|23,6
9|28,3
18|9.36,8
29|20.21.14,5
39|6,1
23|32,6
6|30,1
18|40.18.11,7
18|24,6
18|5.25,4
18|3,12
12|18.40,3
25|18,4
38|9,8
39|,9
26|18,12
40|18.14,10
21|36,7
40|18.25,4
37|6,1
40|9,8
20|29.14,13
